year,age,user1Income,user1AfterDeductionsIncome,user2Income,user1Taxes,user2Taxes,user1AfterTax,user2AfterTax,user1Spending,user2Spending,user1Debts,user2Debts,user1totalSavingsPreStack,user2totalSavingsPreStack,user1totalSavings,user2totalSavings,user1NetWorth,user2NetWorth,user1Explanation,user2Explanation,highlight,,,
2064,75,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,578335,181991,396343,181991,1060335,663991,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2065,76,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,560685,172451,388233,172451,1042685,654451,"pays off their mortgage, freeing up income ",still carries a mortgage,debts,,,
2066,77,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,542505,162625,379880,162625,1024505,644625,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2067,78,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,523780,152503,371277,152503,1005780,634503,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2068,79,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,504494,142079,362415,142079,986494,624079,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2069,80,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,484628,131341,353288,131341,966628,613341,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2070,81,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,464167,120281,343886,120281,946167,602281,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2071,82,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,443092,108890,334203,108890,925092,590890,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2072,83,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,421385,97156,324229,97156,903385,579156,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2073,84,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,399027,85071,313956,85071,881027,567071,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2074,85,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,375997,72623,303374,72623,857997,554623,can draw 35k a year from savings,can only draw 15k a year from savings,income,,,
2075,86,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,352277,59802,292476,59802,834277,541802,won't run out of money before age 95,savings will run out at age 90,investments,,,
2076,87,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,327846,46596,281250,46596,809846,528596,won't run out of money before age 96,savings will run out at age 91,investments,,,
2077,88,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,302681,32994,269687,32994,784681,514994,won't run out of money before age 97,savings will run out at age 92,investments,,,
2078,89,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,276762,18983,257778,18983,758762,500983,won't run out of money before age 98,savings will run out at age 93,investments,,,
2079,90,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,250064,4553,245511,4553,732064,486553,won't run out of money before age 99,savings will run out at age 94,investments,,,
2080,91,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,222566,0,222566,0,704566,482000,won't run out of money before age 100,savings will run out at age 95,investments,,,
2081,92,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,194243,0,194243,0,676243,482000,won't run out of money before age 101,savings will run out at age 96,investments,,,
2082,93,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,165071,0,165071,0,647071,482000,won't run out of money before age 102,savings will run out at age 97,investments,,,
2083,94,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,135023,0,135023,0,617023,482000,won't run out of money before age 103,savings will run out at age 98,investments,,,
2084,95,55000,55000,35000,11739,7021,43261,27979,38935,27140,0,0,104073,0,104073,0,586073,482000,won't run out of money before age 104,savings will run out at age 99,investments,,,
